HubName,pred_safe,pred_prob_safe
167711146,0,0.0033333333333333
198764817,0,0.0033333333333333
35067526,1,0.99
573379754,0,0.0066666666666666
133342129,1,1.0
187488212,0,0.0033333333333333
27011398,0,0.0
591962063,1,0.9933333333333332
250181074,0,0.0033333333333333
225380175,0,0.0
35355031,0,0.0
39726879,0,0.0
28186792,1,1.0
238270616,0,0.0
119005834,1,1.0
1083268430,0,0.02
1081071423,0,0.0
35129708,0,0.0
82710488,1,1.0
35130315,1,0.99
1411351934,0,0.01
35354825,1,1.0
23650800,1,0.9866666666666668
28143075,0,0.0
31600583,1,1.0
35153261,1,1.0
898046650,1,1.0
35542493,0,0.0
22952867,0,0.0033333333333333
120675094,1,1.0
120674856,1,1.0
419819442,1,1.0
172917570,1,1.0
23212005,0,0.0033333333333333
41499262,0,0.0
242856839,0,0.0
359506700,1,1.0
113583293,0,0.0
32975398,1,0.9966666666666668
933322928,1,1.0
35067557,0,0.0
970654536,0,0.0
319768662,1,0.9933333333333332
126180229,0,0.0
217824523,0,0.0
612314865,0,0.0
1088972211,1,0.9966666666666668
32982473,1,1.0
35153257,1,1.0
827933597,1,1.0
265386995,0,0.0
35352482,0,0.0033333333333333
1219909331,0,0.0
612314864,0,0.0
41523046,0,0.0033333333333333
704463546,0,0.0
32405607,1,0.9966666666666668
1137192253,1,0.9966666666666668
238684559,1,0.9966666666666668
35938654,1,0.9966666666666668
886878305,0,0.0
35065232,1,1.0
800899651,0,0.0
827933603,1,1.0
894195589,1,0.9933333333333332
7791158,0,0.0533333333333333
72522262,0,0.0066666666666666
1296555548,0,0.0
1190383743,0,0.0133333333333333
5050710,1,1.0
878775820,0,0.0
569682273,0,0.01
47070006,0,0.0
1106232261,1,0.9966666666666668
1144271302,1,0.9966666666666668
1061561185,1,0.9933333333333332
130995452,1,1.0
1279572624,0,0.0
237781504,1,1.0
1279572637,1,0.9966666666666668
23090471,1,1.0
906692980,1,1.0
883624167,0,0.0
1301853019,0,0.0
554806934,0,0.0066666666666666
878928124,0,0.0
99722971,1,1.0
41311272,1,1.0
41311197,1,0.9966666666666668
53055539,1,1.0
34317131,0,0.0
40135092,1,1.0
550879705,1,1.0
23250445,1,1.0
1279692023,0,0.0
23172454,1,1.0
592149110,1,1.0
893278239,0,0.0
634092849,0,0.0033333333333333
41522993,0,0.0
35809629,1,1.0
878893894,0,0.0066666666666666
674894837,1,1.0
941966514,0,0.0
1072416912,0,0.0
941966513,0,0.0033333333333333
154644826,1,1.0
53056361,0,0.0
133342505,0,0.0033333333333333
696277546,1,0.9933333333333332
35129970,0,0.0
268848398,1,0.9966666666666668
75394181,0,0.0
970654537,0,0.0
1091153853,1,1.0
895240770,1,1.0
124179164,1,1.0
225595156,1,0.9966666666666668
703129794,1,1.0
38564503,1,1.0
225595175,1,1.0
217508818,1,1.0
1306345940,0,0.0
24158853,1,1.0
693469730,1,0.9966666666666668
1312224363,1,1.0
132598418,0,0.0066666666666666
1350314031,1,0.9933333333333332
237325548,1,1.0
1382712288,1,1.0
569379953,1,1.0
364210112,0,0.0033333333333333
1302638414,0,0.0
1295585285,0,0.0
27259080,1,1.0
276458148,1,1.0
64472316,0,0.0033333333333333
